"id","title","format","materials","price","year","format","exhibition","height","width","length","fid","filename","uri","photo_credit","credit_year","uri"
139,"This is You","sculpture","silicone;wood;vibrating motor",,2012,"sculpture","Known World",12,12,12,,,,,,
140,"Till the next time I see you","sculpture","elmo;flocking",1200,2014,"sculpture","Visibility Near Zero",15,11,5.5,,,,,,
141,"Tissue of Regret","sculpture","carpet padding;epoxy",2000,2015,"sculpture",,26,56,9,,,,,,
144,"too closely",,"silver",900,2015,,"Personal Effects",3,1,0.5,,,,,,
145,"touch in midair",,"plastic comb;paint",,2015,,"Personal Effects",7,1,,,,,,,
146,"trafficking in fragments",,"paper;digital projection",,2015,,"Personal Effects",12,17,1,,,,,,
147,"Transient Dimming (Edition 2)","sculpture","plastic kiddie pool;flocking",2200,2014,"sculpture",,39,36,10,,,,,,
148,"Transmission Event","sculpture","glass",3000,2018,"sculpture","Glasstastic",24,20,2.5,,,,,,
149,"Trim","sculpture","white bronze",,2005,"sculpture",,,,,,,,,,
150,"Unattended Process 02 (white, top open) edition 3","sculpture","glass",2400,2015,"sculpture",,4,5,7,,,,,,
151,"Unattended Process 04 (open cast standing) edition 5","sculpture","glass",2400,2015,"sculpture",,5,3,5,,,,,,
152,"Untitled","sculpture","cinder block;paint",1200,2016,"sculpture","Property",8,8,16,,,,,,
153,"Untitled","sculpture","crutch;silicone;hair",,2014,"sculpture","Visibility Near Zero",36,10,3,,,,,,
154,"Untitled","sculpture","trash can pillow",900,2014,"sculpture",,16,11,9,,,,,,
155,"Untitled","sculpture","stuffed animal;paint;turf;steel;sterling",,2010,"sculpture","Slipping Underwater",14,12,12,,,,,,
156,"Untitled","sculpture","silicone;copper;nickle",,2000,"sculpture",,6,3,2,,,,,,
157,"Untitled (snowman stuffed animal)","sculpture","stuffed animal",900,2010,"sculpture","Antistatic",13,10,7,,,,,,
158,"Utopia Sighs","video, HD, 4:10",,,2007,"video, HD, 4:10","Utopia Sighs",,,,,,,,,
159,"Violence Makes me mobile","sculpture","grocery cart",,2010,"sculpture","Violence Makes me Mobile",26,24,36,,,,,,
160,"we lived in a hug",,"concrete",,2015,,"Personal Effects",9,3,2,,,,,,
161,"Which Could Result","sculpture","silicone;teething ring",,2008,"sculpture","Antistatic",,,,,,,,,
162,"without situation","sculpture","paint can;paint",,2014,"sculpture",,10,7.5,1,,,,,,
163,"without Situation_02",,"paint can paint",1800,2013,,,10,7.5,1,,,,,,
164,"woodburn","sculpture","crowbar;paint",,2012,"sculpture",,18,9,1,,,,,,
165,"Wrest 01","video, HD, 1:56 loop",,,2010,"video, HD, 1:56 loop","Hold",,,,,,,,,
166,"Wrest 02","video, HD, 1:09 loop",,,2010,"video, HD, 1:09 loop","Hold",,,,,,,,,
